# time                   burn_weights_iter_1-avg   burn_weights_iter_1-L2    burn_weights_iter_1-max   burn_weights_iter_2-avg   burn_weights_iter_2-L2    burn_weights_iter_2-max   burn_weights_iter_3-avg   burn_weights_iter_3-L2    burn_weights_iter_3-max   
            0.05500330077              35.67202934               149.4842572                     35753               35.78064815               175.2538011                     42248                         0                         0                         0 
            0.05600885318              35.24724306               53.65096714                      9993                35.0964477               35.29540757                       913                         0                         0                         0 
            0.05701440549              35.08327027                35.0895215                        98               35.08323737               35.08949384                        98                         0                         0                         0 
            0.05801995772               35.3035427               64.72419278                     13423               35.82404702               186.2073914                     45134                         0                         0                         0 
             0.0590009842              36.95868757                344.691618                     74850               36.35657772               256.9625715                     60447                         0                         0                         0 
            0.06000653627               35.1037887               35.28871797                       861                35.1572031               38.92680901                      4157                         0                         0                         0 
            0.06101208825              36.65789903               326.0768272                     78217               36.43010893               281.8846546                     67677                         0                         0                         0 
            0.06201764014              35.09976085               35.16711809                       515               35.09406673               35.11294374                       222                         0                         0                         0 
            0.06302319195              35.59345279               129.1088219                     30840               35.11912877               35.72139255                      1637                         0                         0                         0 
            0.06400421803              37.28553386               546.2101864                    135459               36.46097672               342.0393322                     84552                         0                         0                         0 
            0.06500976969              36.09757516                190.453884                     41905               35.35692477               66.89359552                     13958                         0                         0                         0 
            0.06601532126              39.31735186               918.7205985                    225805               35.94100015               186.0206544                     44861                         0                         0                         0 
            0.06702087275              35.72432476               143.5801461                     34450               35.39483923                79.1711481                     17685                         0                         0                         0 
            0.06800189851              36.32040672                222.807855                     52353                35.6238613               94.73966979                     17184                         0                         0                         0 
            0.06900744985              35.10403737               35.12378411                       281               35.10566895               35.14599451                       425                         0                         0                         0 
             0.0700130011              37.66193318               478.9761406                    107584               46.47164693               1930.176891                    382270                         0                         0                         0 
            0.07101855228              35.53243901               78.99529711                     13347               47.19915342               2093.415995                    452384                         0                         0                         0 
            0.07202410338              35.34997778                 69.096009                     14935               35.14570503                36.0647441                      2050                         0                         0                         0 
            0.07300512876              35.60207037               128.0878634                     30961               35.58011618               122.6155177                     29528                         0                         0                         0 
            0.07401067971              39.52511286               1110.871609                    279469               37.85241658               690.1969579                    173499                         0                         0                         0 
            0.07501623058              35.21927187               42.42238735                      5971               35.12782334               35.20695742                       461                         0                         0                         0 
            0.07602178137              40.96056886                1112.23286                    269474               37.57416884               407.8478233                     86368                         0                         0                         0 
            0.07700280647              40.54743977               699.4092977                    106250               39.86874031               768.9113712                    167905                         0                         0                         0 
            0.07802053431              39.75838224               615.1852905                    101766               38.13481831               386.0088453                     57103                         0                         0                         0 
            0.07901773925              35.72069787               152.0380375                     37492               35.50595303                 100.02247                     23733                         0                         0                         0 
            0.08001879212              35.13534231               35.14614981                       153               35.13433369               35.14317634                       114                         0                         0                         0 
            0.08102181546              36.81874159                337.442978                     80754               37.44169748               483.4154733                    118928                         0                         0                         0 
            0.08200141247               49.0929411                2495.66379                    616967               37.11077346               336.6958875                     61343                         0                         0                         0 
            0.08300612008              36.51918729               251.2139367                     49014               36.55182491               323.4498079                     81364                         0                         0                         0 
            0.08401119293              35.16015697               35.21552076                       375               35.34264823               58.06601003                     11783                         0                         0                         0 
            0.08501643967              38.91894246               725.4146507                    168067               41.16306258               1087.763083                    203510                         0                         0                         0 
            0.08602176398               35.1635131               35.21315674                       347               35.16133455               35.19892326                       278                         0                         0                         0 
            0.08700257594               42.6906548               1183.897081                    270880               42.04947458               1107.863683                    256145                         0                         0                         0 
            0.08800791345              41.31417543                987.525557                    235645                41.9460834               948.3186004                    161082                         0                         0                         0 
            0.08901325492              38.26959342               477.3556573                     84057               45.44592291               1587.289805                    289798                         0                         0                         0 
             0.0900185993              49.62977495               1838.738448                    388175               49.00572769               2031.318441                    452903                         0                         0                         0 
            0.09102394653               39.6652484               775.1296377                    180818               47.57167256               1960.446697                    438141                         0                         0                         0 
            0.09200477608              38.12339669               404.2394695                     74039               39.90249511               749.8272072                    158336                         0                         0                         0 
            0.09301012761              36.75734408               309.1732641                     72370               36.54345466               250.4498545                     51503                         0                         0                         0 
            0.09401548058              36.20971734               264.9375851                     68202               37.55653875               613.6878712                    159138                         0                         0                         0 
            0.09502083478              36.91247342               446.7219793                    115895               35.84916135               166.6313561                     42341                         0                         0                         0 
            0.09600166907              36.48720816                337.322948                     87465               35.83194798               168.1458472                     42866                         0                         0                         0 
            0.09700702481              45.01534403               1654.932379                    349098               36.68768227               235.6402631                     47055                         0                         0                         0 
            0.09801238111              53.03718248               3259.954264                    807419               38.90918248               449.8680659                     68313                         0                         0                         0 
            0.09901773797              36.28981165                286.251042                     74488               38.79042979               940.2250992                    246365                         0                         0                         0 
                      0.1              35.00499681               35.00567067                        48               35.00496785               35.00563881                        48                         0                         0                         0 
