          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997538      0.0102375      0.0532604    3.06142e-06    1.43415e-10    4.61663e-10    6.25126e-09    7.39744e-06    4.43459e-11    4.43057e-11    1.03111e-07    1.15357e-09    2.31322e-05    2.32368e-06      0.0161521    0.000273176      0.0192079    0.000711151      0.0119353     0.00146946      0.0171225    3.91761e-05    0.000451907    0.000348743     0.00261149      0.0230297      0.0254069       0.532581       0.285125        -5.1305        22.0032    4.22897e-05   -6.37078e-10   -0.000768926   -2.38467e-08    -0.00204825    8.19105e-10   -8.39584e-07   -4.84516e-05    1.01528e-06       0.604458      -0.677073        108.818       -123.208        26.6072       -32.4362        6.05067       -8.99543       -1.14652      -0.814839    -0.00474939     -0.0775963      -0.059699      -0.408124      -0.301428        3.02315        6.15656    8.50235e+18
      0.099751      0.0102373      0.0532556    3.06332e-06    1.43416e-10    4.61939e-10    6.25113e-09    7.40155e-06    4.43427e-11    4.42986e-11    1.03158e-07    1.15324e-09    2.31449e-05    2.32465e-06      0.0161607    0.000273275      0.0192166    0.000711364      0.0119397      0.0014698      0.0171276    3.91823e-05    0.000451995    0.000348778     0.00261183      0.0230307       0.025408       0.532567       0.285115        2081.79       -7171.81       0.221557    8.57717e-06      -0.195704    0.000114437     -0.0533383   -1.10278e-05   -0.000167325   -0.000129687    2.35573e-05       -127.409        153.025       -38262.3        42737.7       -11224.2        12740.6       -3536.56        3103.08       -799.998        568.988       -39.2381        96.4992       -81.0736        1260.29       -1223.03        11764.1       -12040.4   -5.34348e+21
      0.099751      0.0102373      0.0532556    3.06332e-06    1.43416e-10    4.61936e-10    6.25113e-09    7.40155e-06    4.43427e-11    4.42986e-11    1.03158e-07    1.15324e-09    2.31449e-05    2.32465e-06      0.0161607    0.000273276      0.0192166    0.000711364      0.0119397      0.0014698      0.0171276    3.91824e-05    0.000451995    0.000348778     0.00261183      0.0230307       0.025408       0.532567       0.285115        2058.73       -7079.89       0.200347    8.57704e-06      -0.171214    0.000114372     -0.0552006   -1.10276e-05   -0.000166126   -0.000130975    2.22555e-05       -126.109        151.545         -37642        42049.3       -11199.4        12714.7       -3534.78        3101.89        -799.24        568.192       -39.2298        96.4923       -81.0677        1260.26       -1222.99        11763.9       -12040.2   -5.30038e+21
      0.099751      0.0102374      0.0532553    3.06333e-06    1.43417e-10    4.54029e-10    6.25113e-09    7.40154e-06    4.43423e-11    4.42918e-11    1.03158e-07    1.15324e-09    2.31398e-05    2.33083e-06      0.0161592    0.000275002      0.0192162    0.000711879      0.0119396     0.00146993      0.0171275    3.92053e-05    0.000451993    0.000348782     0.00261182      0.0230308      0.0254079       0.532567       0.285115       -58353.4         233734       -55.3669    8.24054e-06        63.9909     -5.491e-05       -4.93418    -1.0595e-05     0.00297501    -0.00350433    -0.00338848        3281.02       -3727.61     1.5876e+06   -1.76156e+06        53708.7       -55192.9        1113.19       -33.0057        1186.77       -1517.65        -17.503        78.5772       -65.6021        1183.46       -1119.62        11135.6       -11438.5     1.0762e+23
      0.099751      0.0102373      0.0532554    3.06333e-06    1.43416e-10    4.57984e-10    6.25113e-09    7.40155e-06    4.43425e-11    4.42952e-11    1.03158e-07    1.15324e-09    2.31423e-05    2.32774e-06      0.0161599    0.000274139      0.0192164    0.000711621      0.0119397     0.00146987      0.0171276    3.91938e-05    0.000451994     0.00034878     0.00261183      0.0230307      0.0254079       0.532567       0.285115       -28135.6         113280       -27.5726    8.40885e-06        31.8975    2.97637e-05       -2.49375   -1.08114e-05     0.00140384      -0.001817    -0.00168246        1576.79       -1787.28         774665        -859406          21242       -21225.9        -1211.7        1535.05        193.377       -474.324       -28.3706        87.5382       -73.3379        1221.88       -1171.32        11449.9       -11739.5     5.1138e+22
      0.099751      0.0102373      0.0532555    3.06333e-06    1.43417e-10    4.61828e-10    6.25114e-09    7.40154e-06    4.43417e-11    4.42967e-11    1.03158e-07    1.15322e-09    2.31446e-05    2.32576e-06      0.0161606    0.000273459      0.0192164    0.000711698      0.0119395     0.00147001      0.0171275    3.92017e-05    0.000451992    0.000348787     0.00261182      0.0230308      0.0254079       0.532568       0.285114       -5599.94        23300.9      -0.576581    7.41651e-06        0.72522    6.51341e-05      -0.122573   -9.53551e-06    0.000531623   -0.000375837   -0.000717927        459.932       -516.258         135844        -150481        28235.5       -31052.7        1861.88       -1549.13        907.791       -1167.01       -14.5127         71.446       -64.3948        1177.35       -1120.55        11162.1       -11455.5    9.17677e+21
      0.099751      0.0102374      0.0532555    3.06335e-06     1.4342e-10    4.61925e-10    6.25118e-09    7.40151e-06    4.43375e-11     4.4296e-11    1.03158e-07    1.15316e-09    2.31479e-05    2.32528e-06      0.0161608    0.000273325      0.0192165    0.000711597      0.0119391     0.00147024      0.0171274    3.91995e-05    0.000451982     0.00034882     0.00261179      0.0230314      0.0254074       0.532573       0.285109       -924.566        4476.11      0.0415696     2.4045e-06     0.00701881    3.20791e-05     -0.0628745    -3.0915e-06    8.61671e-05     0.00161301   -0.000148647        60.3607       -63.6334        10366.7       -11240.9        16629.4         -18500        6824.89       -7325.17        927.667       -1023.54        37.3683       -13.8518       -7.94154        871.152       -753.604        9009.61        -9350.1    5.91687e+20
      0.099751      0.0102377      0.0532558    3.06342e-06    1.43425e-10    4.61948e-10    6.25125e-09    7.40142e-06     4.4331e-11    4.42935e-11     1.0316e-07    1.15307e-09     2.3154e-05    2.32573e-06      0.0161611    0.000273314      0.0192169    0.000711453       0.011939     0.00146994      0.0171272    3.91872e-05    0.000451989    0.000348853     0.00261176      0.0230326      0.0254063       0.532586       0.285095       -30.1503        504.517      0.0364533   -5.61291e-06   -2.18326e-05   -6.12713e-05     -0.0468765     7.2166e-06    4.08476e-06     0.00422945    8.71414e-05       0.528912      -0.747914        284.511       -77.4608        950.577       -1021.02        2032.97       -2384.61       -54.7599       -84.0895        69.9987       -96.2268        80.1874        156.608        107.334        3499.33       -3937.49   -5.21474e+20
      0.099751      0.0102377       0.053256    3.06346e-06    1.43423e-10    4.61957e-10    6.25122e-09    7.40137e-06    4.43346e-11    4.42951e-11    1.03164e-07    1.15311e-09     2.3154e-05    2.32572e-06      0.0161614    0.000273317       0.019217    0.000711445      0.0119389     0.00146981      0.0171269    3.91855e-05    0.000452009    0.000348825     0.00261183      0.0230328      0.0254065       0.532589       0.285092        37.4483         131.78      0.0302262    -1.9098e-06   -9.43068e-05   -2.14866e-05     -0.0373739    2.45546e-06     1.1969e-06     0.00229746    3.08335e-05     0.00768626     -0.0205047         200.48        -11.526        38.0719       -6.29822       -28.8604       -87.2009        -174.62       -1.18412        13.7582       -19.2264         45.542        120.009        150.852        2107.61       -2516.62   -4.80992e+20
      0.099751      0.0102378      0.0532563    3.06353e-06    1.43422e-10    4.61973e-10    6.25121e-09    7.40128e-06    4.43355e-11    4.42957e-11    1.03167e-07    1.15312e-09    2.31554e-05    2.32584e-06      0.0161619    0.000273323      0.0192171    0.000711442      0.0119387     0.00146977      0.0171265    3.91841e-05    0.000452018    0.000348823     0.00261189      0.0230333      0.0254066       0.532594       0.285085       -10.4368        102.976      0.0197282   -1.43522e-06    8.78279e-06   -1.89366e-05     -0.0223905    1.84529e-06    8.36434e-07     0.00109705    2.74291e-05      -0.804928     -0.0753176        146.955        4.32206       -11.6631        1.42299       -20.2745        -3.1469       -156.378      -0.259415        1.38717       -7.74285        42.5198       -58.9976        354.138       -506.319         122.38   -1.05379e+20
