          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        2.73035       -8.96577    -0.00128549   -7.42562e-10    0.000318352   -2.18163e-06    -0.00192362    9.54773e-10   -1.40951e-05   -1.45631e-05    1.97168e-05      -0.310336       0.341333       -60.4522        62.9885       -18.3487        16.3569       -5.54929        4.11254       -2.25723       0.432638     -0.0508314      0.0188301      -0.142194      -0.375577      -0.419176        6.04765        3.84549   -6.25592e+18
     0.0997387      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        1.81177       -5.30299   -0.000364422   -7.39897e-10   -0.000744778   -2.33031e-06    -0.00184323    9.51346e-10   -1.14566e-05   -1.46471e-05    1.68615e-05      -0.231428       0.251489       -35.6554        35.4708       -17.4705        15.4467       -5.48538         4.0684       -2.24072        0.41582     -0.0506509      0.0186731      -0.142034       -0.37633      -0.418109        6.04099        3.85181   -4.54031e+18
     0.0997387      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24601e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75729e-10    1.13502e-07    1.21316e-08    2.53838e-05    2.50774e-06      0.0174513    0.000290446      0.0205094    0.000747171      0.0126031     0.00152606      0.0178787    4.03389e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -2330.21        9293.47        2.33796    6.02652e-09       -2.69973   -0.000379789       0.202228   -7.74833e-09       0.006687   -0.000227971    -0.00723182        200.094       -227.837        62916.7       -69824.3        2212.06       -2295.29        156.763       -107.981        39.6722       -42.2801       0.407558      -0.380053       0.264263       -2.28764        2.28999       -10.8593         19.913    4.35102e+21
     0.0997387      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24435e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75736e-10    1.13502e-07    1.21316e-08     2.5384e-05    2.50756e-06      0.0174513    0.000290413      0.0205094    0.000747163      0.0126031     0.00152605      0.0178787    4.03387e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -1163.74        4642.24        1.16834    2.64197e-09        -1.3497   -0.000190985       0.100152   -3.39677e-09     0.00333645   -0.000121267    -0.00360604        99.8915       -113.747          31428       -34880.6        1096.85       -1139.47        75.6064        -51.934        18.7074       -20.9237       0.178363      -0.180611      0.0610339       -1.33161       0.935402       -2.40583        11.8792    2.17238e+21
     0.0997388      0.0101524      0.0517959    3.43682e-06    1.43563e-10    5.24268e-10     6.7809e-08    8.19614e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53841e-05    2.50739e-06      0.0174513    0.000290381      0.0205094    0.000747155      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467757    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -48.7563        194.718     0.00418896   -3.27264e-09    -0.00593813    4.15832e-06    -0.00150202    4.20773e-09    0.000264529   -7.70024e-05   -0.000314854        5.58736       -6.35285        1051.03       -1170.52        268.583       -301.999        71.3642       -72.5543        7.68198       -7.92821       0.238642      -0.399803       0.109453       -1.37154       0.649847       -2.97131        12.8945    9.09616e+19
     0.0997388      0.0101524       0.051796    3.43672e-06    1.43563e-10    5.24253e-10     6.7809e-08    8.19595e-06     4.3847e-11    4.75746e-10      1.135e-07    1.21317e-08    2.53835e-05    2.50732e-06      0.0174509    0.000290374      0.0205091    0.000747143      0.0126029     0.00152604      0.0178786    4.03382e-05    0.000467754    0.000354783     0.00267275      0.0231445      0.0257128       0.529194        0.28542      -0.425882        2.37448   -0.000719283   -2.41144e-09    3.77371e-06    1.26845e-05    -0.00230398    3.10047e-09   -8.31539e-07   -9.10967e-05   -1.80566e-05      0.0242937    -0.00804761       -1.78768        -1.7465      -0.231767       -2.48175      -0.636834       -3.70798      -0.816505     -0.0969206     0.00424255       -0.16808     -0.0212636       -1.86808       0.249425       -8.84408        20.1921    1.14258e+18
     0.0997398      0.0101525      0.0517974    3.43579e-06    1.43562e-10    5.24116e-10    6.78086e-08    8.19401e-06    4.38482e-11    4.75758e-10    1.13474e-07    1.21323e-08    2.53775e-05    2.50678e-06      0.0174475    0.000290323      0.0205057    0.000747036      0.0126013     0.00152587      0.0178769    4.03351e-05     0.00046772    0.000354763     0.00267262      0.0231439      0.0257125       0.529198       0.285426     -0.0318025        1.02332   -0.000742619   -4.57454e-10   -6.88218e-06     6.9797e-07    -0.00255832    5.88205e-10   -1.68108e-07   -3.94695e-05   -8.50829e-07     0.00559092    -0.00776229       -1.69492        -1.4225       -3.35755      -0.475424       -2.75256      -0.427387       -2.28208     -0.0127528     -0.0538831      -0.040622      -0.197023       -1.40567      -0.907453        3.72003        10.3238    5.23539e+17
     0.0997436      0.0101527      0.0518022    3.43208e-06    1.43559e-10    5.23566e-10    6.78072e-08     8.1861e-06    4.38523e-11      4.758e-10    1.13373e-07    1.21343e-08    2.53549e-05    2.50471e-06      0.0174342     0.00029012      0.0204925    0.000746604      0.0125947     0.00152517      0.0178696    4.03212e-05    0.000467584    0.000354685     0.00267217      0.0231417      0.0257114       0.529216       0.285449      -0.735934        4.09647   -0.000889628   -4.96704e-10   -0.000140231   -1.84091e-07     -0.0024121    6.38669e-10   -1.24747e-06   -3.39379e-05    1.73152e-06      0.0928791      -0.109649        14.1883        -19.485       0.930996       -5.18377      -0.872237       -1.60285       -2.39606      -0.128163     -0.0367803     -0.0323898     -0.0896659      -0.385426       -0.10675        5.34038        6.51909    1.40161e+18
     0.0997597      0.0101537      0.0518227    3.41599e-06    1.43545e-10    5.21181e-10    6.78013e-08    8.15173e-06    4.38698e-11    4.75982e-10    1.12935e-07    1.21429e-08    2.52585e-05    2.49589e-06      0.0173774    0.000289256      0.0204362     0.00074476      0.0125664     0.00152219      0.0178387    4.02618e-05    0.000467006    0.000354353     0.00267028      0.0231326      0.0257068       0.529289       0.285549       -14.5611        60.0049     0.00180574   -6.37206e-10    -0.00255165   -1.97654e-07    -0.00293893    8.19314e-10   -2.41154e-05   -0.000102892    2.84311e-05        1.74977       -1.94814        313.057       -348.844        78.9513       -90.1927        18.9663       -24.5052      -0.411233       -2.18966       0.034016      -0.175076   -0.000166722      -0.288246      -0.398008        1.62141        9.13213    2.53983e+19
     0.0997597      0.0101536      0.0518215    3.41581e-06    1.43545e-10    5.21155e-10    6.78014e-08    8.15132e-06    4.38698e-11    4.75981e-10    1.12929e-07    1.21427e-08    2.52579e-05    2.49578e-06      0.0173772    0.000289246      0.0204361    0.000744736      0.0125664     0.00152214      0.0178386    4.02604e-05    0.000467003    0.000354345     0.00267028      0.0231323       0.025707       0.529286       0.285554        1.36537       -4.02432   -0.000889538   -1.38986e-09   -0.000124721   -4.99582e-07    -0.00214942    1.78702e-09    5.03751e-07   -2.59374e-05    1.61665e-07      -0.150636       0.165642       -31.7995        31.3169       -11.0646        8.27981       -3.79406        1.83586       -2.20072       0.240792     -0.0487424      0.0015753      -0.137746      -0.539063      -0.343482        3.86626        7.03385   -2.97048e+18
