          time       sdc-iter          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
      0.099769              0      0.0101551      0.0518502    3.40801e-06    1.43538e-10    5.20009e-10    6.75597e-08    8.13464e-06    4.38803e-11    4.74462e-10     1.1273e-07    1.21079e-08    2.52103e-05    2.49228e-06      0.0173463    0.000288876      0.0204049    0.000743973      0.0125506     0.00152095      0.0178207    4.02433e-05    0.000466697    0.000354266     0.00266913      0.0231312      0.0257013       0.529366        0.28555       0.815378       -1.38165   -0.000845105   -2.03478e-09   -7.47664e-05   -8.01694e-07    -0.00195819     2.6162e-09   -4.31686e-06     -2.362e-05    6.23888e-06     -0.0818765      0.0875138       -19.5792        17.9858       -7.71801        4.77049       -2.86559        1.03488       -1.99027       0.129748     -0.0395407    -0.00700904      -0.123693      -0.476121      -0.323412        4.15676        5.60879   -2.72123e+18
     0.0997387              1      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        2.73035       -8.96577    -0.00128549   -7.42561e-10    0.000318352   -2.18163e-06    -0.00192362    9.54771e-10   -1.40951e-05   -1.45631e-05    1.97168e-05      -0.310336       0.341333       -60.4522        62.9885       -18.3487        16.3569       -5.54929        4.11254       -2.25723       0.432638     -0.0508314      0.0188301      -0.142194      -0.375577      -0.419176        6.04765        3.84548     -6.256e+18
     0.0997387              1      0.0101524      0.0517959    3.43683e-06    1.43563e-10    5.24269e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75744e-10    1.13502e-07    1.21316e-08    2.53842e-05    2.50738e-06      0.0174513     0.00029038      0.0205094    0.000747154      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419        1.43131       -3.78591    1.71089e-05   -7.38504e-10    -0.00118515   -2.39185e-06    -0.00180994    9.49555e-10   -1.03635e-05    -1.4682e-05    1.56786e-05      -0.198745       0.214277       -25.3846        24.0731       -17.1069        15.0699       -5.45899        4.05019       -2.23391       0.408873     -0.0505775      0.0186113      -0.141971      -0.376598       -0.41771        6.03864        3.85401   -3.82982e+18
     0.0997387              1      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24601e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75729e-10    1.13502e-07    1.21316e-08    2.53838e-05    2.50774e-06      0.0174513    0.000290446      0.0205094    0.000747171      0.0126031     0.00152606      0.0178787    4.03389e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -2330.16        9293.33          2.338    6.54518e-09       -2.69977   -0.000379707       0.202226   -8.41519e-09     0.00668733   -0.000228136    -0.00723232         200.09       -227.832        62916.1       -69823.7        2211.67       -2294.84         156.62       -107.865        39.6248        -42.245       0.405141      -0.374109       0.259634       -2.20911        2.21373       -10.1223        19.1578    4.35083e+21
     0.0997387              1      0.0101524      0.0517958    3.43683e-06    1.43563e-10    5.24435e-10     6.7809e-08    8.19616e-06    4.38469e-11    4.75736e-10    1.13502e-07    1.21316e-08     2.5384e-05    2.50756e-06      0.0174513    0.000290413      0.0205094    0.000747163      0.0126031     0.00152605      0.0178787    4.03387e-05    0.000467758    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -1163.71        4642.18        1.16836    2.90131e-09       -1.34972   -0.000190944       0.100151   -3.73021e-09     0.00333662    -0.00012135     -0.0036063          99.89       -113.745        31427.8       -34880.3        1096.66       -1139.24        75.5353       -51.8762        18.6838       -20.9062       0.177155      -0.177639      0.0587197       -1.29234       0.897279       -2.03734        11.5016    2.17229e+21
     0.0997388              1      0.0101524      0.0517959    3.43682e-06    1.43563e-10    5.24268e-10    6.78089e-08    8.19614e-06    4.38469e-11    4.75743e-10    1.13502e-07    1.21316e-08    2.53841e-05    2.50739e-06      0.0174513    0.000290381      0.0205094    0.000747155      0.0126031     0.00152605      0.0178787    4.03385e-05    0.000467757    0.000354784     0.00267276      0.0231446      0.0257129       0.529194       0.285419       -47.4642        190.407     0.00410343    8.06411e-10    -0.00578748    4.98089e-06    -0.00156906   -1.03676e-09      0.0002567   -7.65592e-05   -0.000306955        5.45708       -6.20019        1027.23       -1143.86        262.376       -294.932        69.3117       -70.8108        7.28868       -7.74523        0.22902      -0.358471      0.0792479       -0.50965      -0.127175        5.70417        3.92119    8.74517e+19
     0.0997388              1      0.0101524       0.051796    3.43672e-06    1.43563e-10    5.24253e-10    6.78081e-08    8.19595e-06     4.3847e-11     4.7574e-10      1.135e-07    1.21315e-08    2.53835e-05    2.50732e-06      0.0174509    0.000290374      0.0205091    0.000747143      0.0126029     0.00152604      0.0178785    4.03382e-05    0.000467754    0.000354783     0.00267275      0.0231445      0.0257128       0.529195       0.285419      -0.190904        2.89157   -0.000581878   -1.61381e-09    -9.0502e-07    1.27609e-05    -0.00244008    2.07495e-09   -8.79811e-08   -8.78165e-05   -1.90388e-05      0.0285947    -0.00829974       -1.40696       -1.16833     -0.0727049       -2.40414       -1.06789       -3.76097       -1.67154     -0.0938317      0.0166987      -0.155529      0.0802704      -0.617633       0.266198        1.64006        7.69845   -1.41337e+18
     0.0997398              1      0.0101525      0.0517977    3.43581e-06    1.43562e-10    5.24118e-10    6.78003e-08    8.19398e-06     4.3848e-11    4.75699e-10    1.13475e-07    1.21307e-08     2.5378e-05    2.50685e-06      0.0174476    0.000290327      0.0205058    0.000747042      0.0126013     0.00152587      0.0178767    4.03351e-05    0.000467721    0.000354767     0.00267263      0.0231441      0.0257125         0.5292       0.285423     -0.0342364        2.51342   -0.000615516   -1.38364e-09   -8.44883e-06    2.90253e-07    -0.00237825    1.77902e-09    3.64557e-07   -3.43579e-05   -8.60695e-07     0.00782082     -0.0090746      -0.442922       -1.73266       -2.77066      -0.535234       -2.51319      -0.390788       -2.82153     -0.0164856     -0.0512838     -0.0303716      -0.111731      -0.495016      -0.254397        3.19218         6.4992   -2.00993e+18
     0.0997464              1      0.0101531      0.0518096    3.42946e-06    1.43557e-10     5.2318e-10    6.77461e-08    8.18043e-06    4.38554e-11    4.75421e-10    1.13305e-07    1.21256e-08    2.53399e-05    2.50353e-06      0.0174246    0.000289997      0.0204828    0.000746344      0.0125897     0.00152475       0.017864    4.03142e-05    0.000467488    0.000354652     0.00267184      0.0231412        0.02571       0.529238       0.285452       -3.54733        16.2859   -0.000444285   -3.47925e-10   -0.000406599    1.99055e-06    -0.00203644    4.47383e-10    1.96802e-05   -3.84538e-05    -2.5946e-05       0.409985      -0.466919        75.0331       -86.5108        17.2736       -22.6929        3.64005       -6.01946       -1.37332      -0.597365     -0.0138001     -0.0641771     -0.0947733        -0.5507      -0.396269        4.91567        4.77233     4.8864e+18
     0.0997636              1      0.0101546      0.0518404     3.4129e-06    1.43542e-10    5.20732e-10    6.76038e-08    8.14508e-06    4.38745e-11    4.74691e-10    1.12861e-07    1.21121e-08    2.52399e-05    2.49484e-06      0.0173643    0.000289132      0.0204229    0.000744513      0.0125596     0.00152182      0.0178307    4.02594e-05     0.00046688    0.000354353     0.00266976      0.0231335      0.0257034       0.529336       0.285529       -29.6299        120.786     0.00281489    3.82644e-09    -0.00336054    1.99151e-05    -0.00268074   -4.91965e-09    0.000162076   -0.000140126   -0.000218961        3.40742       -3.83178        639.101       -709.717        165.389       -185.395        41.7937       -48.2168        2.60081       -4.86255       0.152127      -0.392107       0.184814      -0.572153     -0.0168155         3.9514        5.27079    5.20108e+19
     0.0997636              1      0.0101546        0.05184    3.41297e-06    1.43542e-10    5.20742e-10    6.76039e-08    8.14522e-06    4.38745e-11    4.74689e-10    1.12862e-07     1.2112e-08    2.52402e-05    2.49484e-06      0.0173645    0.000289133      0.0204231    0.000744514      0.0125597     0.00152182      0.0178309    4.02592e-05    0.000466881    0.000354351     0.00266977      0.0231334      0.0257035       0.529334        0.28553       0.660188      -0.761303   -0.000939276   -1.40202e-09    1.00624e-05   -6.68692e-07    -0.00196217    1.80265e-09   -2.10761e-06   -2.31151e-05    3.46192e-06     -0.0715711      0.0744474       -16.1886        14.1643       -6.68994        3.59507       -2.54185       0.749744       -1.94131      0.0899019       -0.03726     -0.0103374       -0.11968      -0.464244      -0.326509        4.71948        5.10236   -2.41823e+18
     0.0997633              0      0.0101546      0.0518394    3.41335e-06    1.43543e-10    5.20798e-10     6.7607e-08    8.14603e-06    4.38741e-11    4.74705e-10    1.12872e-07    1.21123e-08    2.52425e-05    2.49505e-06      0.0173659    0.000289153      0.0204244    0.000744557      0.0125604     0.00152189      0.0178316    4.02606e-05    0.000466895    0.000354359     0.00266982      0.0231336      0.0257036       0.529332       0.285528       0.496803      0.0246553   -0.000959601   -1.02803e-10    3.28338e-05   -5.31012e-07     -0.0019598    1.32225e-10   -1.52893e-06   -2.34459e-05    2.58027e-06     -0.0510391      0.0508185       -11.8999        9.41347       -5.61699        2.42452       -2.28865       0.487898       -1.92832      0.0743007     -0.0379114     -0.0066144      -0.121652      -0.338022      -0.439715        6.29872        3.46057    -2.2932e+18
     0.0997633              0      0.0101546      0.0518394    3.41335e-06    1.43543e-10    5.20798e-10     6.7607e-08    8.14603e-06    4.38741e-11    4.74705e-10    1.12872e-07    1.21123e-08    2.52425e-05    2.49505e-06      0.0173659    0.000289153      0.0204244    0.000744557      0.0125604     0.00152189      0.0178316    4.02606e-05    0.000466895    0.000354359     0.00266982      0.0231336      0.0257036       0.529332       0.285528       0.108481        1.57298    -0.00069141   -1.02776e-10   -0.000276736   -5.76621e-07    -0.00193637     1.3219e-10   -7.14962e-07   -2.34811e-05    1.69905e-06     -0.0177217      0.0128836        -1.4254       -2.21037       -5.23831        2.03138       -2.26109       0.468896        -1.9202      0.0659469     -0.0378197    -0.00669443      -0.121576      -0.338382      -0.439209        6.29562        3.46351   -1.56786e+18
     0.0997633              0      0.0101546      0.0518394    3.41334e-06    1.43543e-10    5.20887e-10     6.7607e-08    8.14602e-06    4.38741e-11    4.74701e-10    1.12872e-07    1.21123e-08    2.52423e-05    2.49518e-06      0.0173659    0.000289178      0.0204244    0.000744564      0.0125604     0.00152189      0.0178316    4.02608e-05    0.000466895    0.000354359     0.00266982      0.0231336      0.0257036       0.529333       0.285528       -904.107        3606.87       0.623796    -3.9946e-11      -0.721115   -0.000106777      0.0526037     5.1409e-11     0.00189463   -0.000105438    -0.00205023        77.5624       -88.3192        24388.7       -27068.5        876.507       -913.387        61.9254       -43.7777        16.9905       -19.3861       0.175774      -0.193043      0.0571936       -1.17592       0.740353       -0.90166        10.3006    1.68745e+21
     0.0997633              0      0.0101546      0.0518394    3.41334e-06    1.43543e-10    5.20842e-10     6.7607e-08    8.14602e-06    4.38741e-11    4.74703e-10    1.12872e-07    1.21123e-08    2.52424e-05    2.49512e-06      0.0173659    0.000289166      0.0204244     0.00074456      0.0125604     0.00152189      0.0178316    4.02607e-05    0.000466895    0.000354359     0.00266982      0.0231336      0.0257036       0.529333       0.285528       -451.804        1803.44       0.311417    -7.1374e-11       -0.36054   -5.36538e-05      0.0253218    9.18165e-11    0.000946546   -6.44417e-05    -0.00102382        38.7555        -44.134        12188.3       -13529.5        435.443        -455.48        29.8183       -21.6448        7.53103       -9.65588      0.0689308     -0.0998282     -0.0322297       -0.75697       0.150317        2.69854        6.88055    8.42575e+20
     0.0997633              0      0.0101546      0.0518395     3.4133e-06    1.43543e-10    5.20792e-10    6.76067e-08    8.14594e-06    4.38741e-11    4.74703e-10    1.12871e-07    1.21123e-08    2.52422e-05    2.49503e-06      0.0173657    0.000289151      0.0204243    0.000744553      0.0125603     0.00152188      0.0178315    4.02605e-05    0.000466894    0.000354358     0.00266981      0.0231336      0.0257036       0.529333       0.285528       -12.2188        49.5981   -2.69672e-05   -1.52201e-08     -0.0010033    1.08186e-06    -0.00191964    1.95687e-08    4.69473e-05   -4.43237e-05   -5.63946e-05        1.36999       -1.56076        255.991       -287.832        65.6184       -76.6117        17.4058       -19.3217       0.881757       -2.33824         0.1064      -0.248645      0.0877559       -1.66929        1.21734       -5.46672        14.9938    2.26117e+19
     0.0997637              0      0.0101546      0.0518402    3.41291e-06    1.43542e-10    5.20734e-10    6.76033e-08     8.1451e-06    4.38745e-11    4.74686e-10    1.12861e-07     1.2112e-08    2.52399e-05    2.49482e-06      0.0173643     0.00028913      0.0204229    0.000744509      0.0125596     0.00152181      0.0178307    4.02591e-05    0.000466879    0.000354351     0.00266976      0.0231334      0.0257034       0.529335        0.28553     -0.0364167        1.91023   -0.000831287    -2.9125e-09   -2.04318e-06    2.42095e-07    -0.00206758    3.74469e-09    8.74584e-08   -3.10328e-05   -4.65177e-07   -0.000931538    -0.00231698       -2.68906      -0.385603       -3.03833      -0.298073       -1.79617       -0.40688       -2.00703     -0.0105015     -0.0330551     -0.0350769     -0.0769274      -0.680863       0.133246        0.51688        8.93982   -1.09455e+18
     0.0997678              0       0.010155      0.0518476    3.40902e-06    1.43539e-10    5.20158e-10    6.75697e-08    8.13677e-06     4.3879e-11    4.74513e-10    1.12756e-07    1.21088e-08    2.52165e-05    2.49279e-06      0.0173502    0.000288928      0.0204087     0.00074408      0.0125525     0.00152112      0.0178229    4.02462e-05    0.000466736    0.000354281     0.00266928      0.0231316      0.0257019       0.529359       0.285547       -1.27117         7.1931   -0.000720468   -7.73265e-10   -0.000148207     4.2396e-07    -0.00194561    9.94247e-10    7.30991e-06   -2.92526e-05   -9.16417e-06       0.147548      -0.172258        25.6785       -31.9828        4.36599       -8.45637       0.346406       -2.32113       -1.59435      -0.224002        -0.0263     -0.0340641      -0.114302      -0.524322      -0.406575        4.63344        4.76555    7.00908e+17
     0.0997842              0      0.0101564       0.051877    3.39356e-06    1.43525e-10    5.17873e-10    6.74354e-08    8.10376e-06    4.38971e-11    4.73823e-10    1.12342e-07     1.2096e-08    2.51231e-05    2.48468e-06      0.0172937     0.00028812      0.0203525    0.000742371      0.0125243     0.00151838      0.0177917    4.01952e-05    0.000466165    0.000354003     0.00266732      0.0231244      0.0256956       0.529451       0.285617       -24.0868        98.5896     0.00206292    3.19195e-09    -0.00266087    1.60757e-05    -0.00248376   -4.10388e-09    0.000132401   -0.000117008   -0.000178581        2.76402       -3.11058        519.178        -577.25        134.068        -150.97        33.7965       -39.2714        1.84514       -3.97025       0.119488      -0.323668       0.130631      -0.557644     -0.0854436        4.38527        4.75271    4.19664e+19
     0.0997842              0      0.0101564      0.0518773    3.39374e-06    1.43525e-10      5.179e-10    6.74354e-08    8.10414e-06     4.3897e-11    4.73822e-10    1.12347e-07     1.2096e-08     2.5124e-05    2.48479e-06      0.0172942     0.00028813       0.020353    0.000742391      0.0125245     0.00151842      0.0177919     4.0196e-05    0.000466169    0.000354007     0.00266733      0.0231246      0.0256956       0.529452       0.285615    -0.00464157        2.03862   -0.000968088   -2.70262e-10     6.5233e-05   -3.13493e-07    -0.00192206    3.47529e-10    1.69293e-06   -2.36875e-05   -1.50485e-06    0.000612241     -0.0081317       -1.29675       -2.28816       -2.69001      -0.768316       -1.46364      -0.320378       -1.79765     -0.0219139     -0.0318918     -0.0168727      -0.111099      -0.383243      -0.377356        5.94145        3.60223   -1.42122e+18
     0.0997842              0      0.0101564      0.0518768    3.39365e-06    1.43525e-10    5.17887e-10    6.74355e-08    8.10395e-06    4.38971e-11    4.73821e-10    1.12344e-07     1.2096e-08    2.51235e-05    2.48471e-06       0.017294    0.000288123      0.0203528    0.000742376      0.0125244     0.00151839      0.0177918    4.01953e-05    0.000466167    0.000354003     0.00266733      0.0231244      0.0256957       0.529451       0.285617       0.464402      0.0347625   -0.000870566   -1.59935e-09   -4.02754e-05   -6.51197e-07    -0.00194031    2.05635e-09   -2.51164e-06   -2.38502e-05    3.90704e-06     -0.0462844      0.0464222       -11.9351         9.5211        -5.6083        2.45155        -2.2818       0.468968        -1.9034      0.0628177     -0.0361179     -0.0123651      -0.117688      -0.469931      -0.317178        4.48217        5.19883   -2.10353e+18
     0.0997842              0      0.0101564       0.051877    3.39356e-06    1.43525e-10    5.17873e-10    6.74354e-08    8.10376e-06    4.38971e-11    4.73823e-10    1.12342e-07     1.2096e-08    2.51231e-05    2.48468e-06      0.0172937     0.00028812      0.0203525    0.000742371      0.0125243     0.00151838      0.0177917    4.01952e-05    0.000466165    0.000354003     0.00266732      0.0231244      0.0256956       0.529451       0.285617       -24.0868        98.5896     0.00206292    3.19195e-09    -0.00266087    1.60757e-05    -0.00248376   -4.10388e-09    0.000132401   -0.000117008   -0.000178581        2.76402       -3.11058        519.178        -577.25        134.068        -150.97        33.7965       -39.2714        1.84514       -3.97025       0.119488      -0.323668       0.130631      -0.557644     -0.0854437        4.38527        4.75271    4.19664e+19
     0.0997842              0      0.0101564       0.051876    3.39352e-06    1.43525e-10    5.17868e-10    6.74355e-08    8.10366e-06    4.38971e-11    4.73821e-10     1.1234e-07    1.20959e-08    2.51227e-05    2.48459e-06      0.0172937    0.000288112      0.0203525    0.000742353      0.0125243     0.00151835      0.0177917    4.01942e-05    0.000466163    0.000353996     0.00266732      0.0231242      0.0256958       0.529449       0.285621     -0.0233706        1.86871    -0.00094629   -1.68296e-09    2.82312e-05   -6.09879e-07    -0.00195299    2.16386e-09   -7.49544e-07   -2.43629e-05    1.78929e-06     0.00012423    -0.00763253       -1.83223       -1.74131       -2.83037      -0.673151       -1.49097      -0.294757       -1.78227     -0.0395784     -0.0302198     -0.0245929      -0.106934      -0.563879      -0.220195        3.98069        5.81482   -1.03578e+18
     0.0997842              0      0.0101563       0.051875    3.39334e-06    1.43525e-10    5.17843e-10    6.74356e-08     8.1033e-06    4.38972e-11     4.7382e-10    1.12334e-07    1.20957e-08    2.51217e-05    2.48445e-06      0.0172932    0.000288099      0.0203521    0.000742324      0.0125241      0.0015183      0.0177915    4.01929e-05    0.000466159    0.000353987     0.00266732      0.0231238       0.025696       0.529447       0.285626     -0.0203159        1.77634   -0.000957568   -1.73211e-09    2.89095e-05   -6.13434e-07    -0.00197509    2.22704e-09   -7.63599e-07   -2.46573e-05    1.81102e-06    -0.00150568    -0.00587588       -2.04192       -1.54074       -2.89216      -0.634869       -1.50788      -0.290796       -1.79143     -0.0396027     -0.0304088     -0.0254192      -0.106902      -0.591446      -0.201104        3.75427        6.19468    -9.1247e+17
