          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49776e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61866e-11    9.98633e-08    9.27932e-10    2.28209e-05    2.21597e-06      0.0162318    0.000264904      0.0193318    0.000690848      0.0120097     0.00143182      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794        17.6662       -69.0375    -0.00288403    -3.4723e-09     0.00203747    1.52765e-06    -0.00103458    4.46439e-09    1.74622e-05    4.89855e-05    -2.2664e-05       -1.95739        2.19256         -382.2        419.269       -103.322         110.51       -27.4038        28.7009       -4.18076         2.9397      -0.135156       0.211674      -0.274478      -0.245983      -0.526024        5.44063        2.35418   -3.32437e+19
     0.0997387       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49776e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61866e-11    9.98633e-08    9.27932e-10    2.28209e-05    2.21597e-06      0.0162318    0.000264904      0.0193318    0.000690848      0.0120097     0.00143182      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794        15.4765       -60.3066   -0.000712329    -3.4648e-09   -0.000464834    1.59454e-06   -0.000850423    4.45475e-09    1.63244e-05    4.87984e-05   -2.14369e-05        -1.7761        1.98612       -323.093        353.675       -101.217        108.328       -27.2513        28.5965       -4.14097        2.89916      -0.134739       0.211326       -0.27412      -0.247659      -0.523626        5.42552        2.36853   -2.91536e+19
     0.0997387       0.010171        0.05161     2.9871e-06    1.43218e-10    4.50619e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61938e-11    9.98633e-08    9.27922e-10    2.28201e-05    2.21688e-06      0.0162317    0.000265077      0.0193318    0.000690894      0.0120097     0.00143183      0.0172642    3.77766e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -5867.97          23399        5.83451    1.66968e-08       -6.72398    0.000181306       0.493979   -2.14673e-08    -0.00304099    -0.00045392     0.00327586         485.33         -552.7         158493        -175892        5554.71       -5754.26        382.553       -251.871        102.776       -106.018        0.98686      -0.722961       0.688747        -4.7502        5.91806       -35.1763        40.9312    1.09606e+22
     0.0997387       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.50197e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61902e-11    9.98633e-08    9.27927e-10    2.28205e-05    2.21642e-06      0.0162318     0.00026499      0.0193318    0.000690871      0.0120097     0.00143183      0.0172642     3.7776e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -2925.15          11665        2.91581    6.61223e-09       -3.36097    9.14169e-05       0.246472   -8.50143e-09    -0.00151176   -0.000202467      0.0016266        241.686       -275.254        79055.4       -87736.4        2725.69       -2821.87        177.575       -111.585        49.2975       -51.5391       0.425852      -0.255643       0.207134       -2.49809        2.69602       -14.8678        21.6427     5.4637e+21
     0.0997387       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49779e-10     5.1707e-09    7.23797e-06    4.41733e-11    3.61869e-11    9.98634e-08    9.27924e-10    2.28208e-05    2.21601e-06      0.0162318    0.000264909      0.0193318    0.000690858      0.0120097     0.00143184      0.0172642    3.77758e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -197.689        785.488      0.0192554    6.23724e-09     -0.0233297    7.00017e-06    0.000712669    -8.0193e-09   -0.000199213   -7.88665e-05    0.000221915        21.9367       -24.9765        4309.85       -4787.64        1093.58       -1219.02         268.92       -261.399        35.6709        -31.816       0.659478      -0.754485       0.249167       -1.06636       0.526394      -0.962344        8.44806    3.70607e+20
     0.0997388       0.010171      0.0516101    2.98707e-06    1.43218e-10    4.49772e-10     5.1707e-09    7.23794e-06    4.41733e-11     3.6186e-11    9.98633e-08    9.27915e-10    2.28205e-05    2.21594e-06      0.0162317    0.000264902      0.0193317    0.000690847      0.0120097     0.00143183      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -3.22573        14.2976   -0.000140894    1.55005e-08    -3.1551e-05   -1.49062e-05    -0.00199521   -1.99292e-08    -1.1239e-06   -0.000351195    2.36706e-05       0.254926      -0.153539        13.6275       -18.0131        38.5392       -39.9319         38.277         -52.75        3.62791       -1.52755       0.573727       -1.18601       0.809488       -1.32869       0.794364       -3.22796        10.5455    4.13742e+18
      0.099739       0.010171      0.0516104    2.98689e-06    1.43218e-10    4.49746e-10    5.17069e-09    7.23762e-06    4.41736e-11    3.61866e-11    9.98588e-08    9.27935e-10    2.28193e-05    2.21583e-06       0.016231    0.000264891      0.0193311    0.000690826      0.0120095      0.0014318       0.017264    3.77751e-05    0.000451712    0.000339221     0.00262528      0.0226512      0.0257216       0.528339       0.290795      -0.197676        4.32765     0.00161006    1.85997e-09   -1.96911e-06   -4.46876e-06    -0.00454866   -2.39138e-09    2.41029e-07   -0.000222568    6.42194e-06      0.0781195     0.00819232        4.90496       0.205692        1.57009     -0.0156956       -13.0372       -2.53979        -3.2574      -0.010688     -0.0712933      -0.253394       0.363706       -1.12716       0.128228       -6.12165        15.0485   -4.22354e+18
     0.0997412      0.0101711       0.051613    2.98538e-06    1.43216e-10    4.49524e-10    5.17063e-09    7.23436e-06    4.41758e-11    3.61885e-11    9.98166e-08    9.28026e-10    2.28093e-05    2.21494e-06      0.0162249    0.000264802       0.019325    0.000690638      0.0120064      0.0014315      0.0172608    3.77696e-05    0.000451648    0.000339186     0.00262504        0.02265      0.0257208       0.528346       0.290806       -0.13218        2.48517    6.51839e-05   -9.98759e-10   -1.94452e-05    -1.5689e-07    -0.00295743    1.28412e-09   -2.24878e-08   -3.67836e-05     2.6157e-07      0.0280551     -0.0232777        5.76838       -4.33051       -1.89898       -1.24098       -3.99223      -0.782434       -6.73532     -0.0405114      -0.116278     -0.0676255        -0.2253       -1.00893      -0.695183        4.73315        8.27792   -1.32906e+18
     0.0997467      0.0101714       0.051619    2.98136e-06    1.43212e-10    4.48935e-10     5.1705e-09    7.22559e-06    4.41808e-11    3.61925e-11    9.97053e-08    9.28215e-10    2.27844e-05    2.21272e-06      0.0162096    0.000264576      0.0193096    0.000690143      0.0119985     0.00143067      0.0172518    3.77529e-05    0.000451482    0.000339093     0.00262449      0.0226475      0.0257194       0.528367       0.290833       -1.18465        5.90632   -0.000567612   -5.22346e-10    -0.00018229   -1.73393e-08    -0.00180921    6.71591e-10    -1.8043e-07   -2.77888e-05    2.36511e-07       0.138897       -0.15941        24.0325       -29.4654        4.32393       -7.97171       0.287378       -2.33246        -1.8327      -0.207696     -0.0272803     -0.0336355     -0.0805838      -0.355815      -0.176643        3.95083        5.19075    1.79084e+18
     0.0997522      0.0101717      0.0516246    2.97721e-06    1.43208e-10    4.48327e-10    5.17037e-09    7.21656e-06    4.41859e-11    3.61964e-11    9.95907e-08    9.28404e-10     2.2759e-05    2.21042e-06      0.0161942    0.000264343       0.019294    0.000689639      0.0119906     0.00142984       0.017243    3.77362e-05    0.000451316    0.000338997     0.00262394      0.0226448       0.025718       0.528386       0.290862       -1.61584        7.70087   -0.000412337   -7.96683e-10   -0.000305008   -2.30902e-08    -0.00170699    1.02431e-09   -2.69151e-07    -2.9292e-05    3.48644e-07       0.189209      -0.214867        33.1305       -39.6193        6.50668       -10.2691       0.918772       -2.94045        -1.4252      -0.247426      -0.022585     -0.0340433     -0.0883993      -0.461761      -0.284787        2.99581         5.7844    2.41928e+18
