          time       sdc-iter          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387              0      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63446e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42913e-11    1.03448e-07    1.15287e-09    2.32073e-05    2.33064e-06       0.016197    0.000273867      0.0192529     0.00071264      0.0119581     0.00147189      0.0171477    3.92248e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045        7.31779       -27.6739     -0.0017173   -9.23071e-10    0.000822524   -6.56053e-08    -0.00141365    1.18681e-09    8.36737e-07    9.72466e-06   -8.77785e-07      -0.843351       0.936087       -159.066        172.306       -44.2326        45.2037       -12.1771        11.9526        -2.6445         1.1696     -0.0758763      0.0764291      -0.177259      -0.406014      -0.387712        5.83319        2.89169   -1.42486e+19
     0.0997387              0      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63446e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42913e-11    1.03448e-07    1.15287e-09    2.32073e-05    2.33064e-06       0.016197    0.000273867      0.0192529     0.00071264      0.0119581     0.00147189      0.0171477    3.92248e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045          5.252       -19.4368    0.000268024    -9.1645e-10    -0.00146978   -5.80396e-08    -0.00123945     1.1783e-09    7.15933e-07    9.53381e-06   -7.48196e-07      -0.665276       0.733332        -103.31        110.431       -42.2489        43.1471       -12.0313        11.8514       -2.60796        1.13248     -0.0754827      0.0760933      -0.176914      -0.407595      -0.385435        5.81897        2.90518   -1.03902e+19
     0.0997387              0      0.0102367      0.0532423    3.07357e-06    1.43427e-10     4.6397e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42919e-11    1.03448e-07    1.15286e-09    2.32068e-05    2.33124e-06      0.0161969    0.000273977      0.0192529    0.000712669      0.0119581      0.0014719      0.0171477    3.92255e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045       -3819.51        15231.4        3.67604    1.13422e-08        -4.2456    1.39496e-05       0.321289   -1.45828e-08   -0.000222949   -0.000343816    0.000239183        329.036       -374.662         103128        -114448         3630.4       -3764.44        258.017       -175.627        65.0448       -67.5922       0.653153       -0.54575       0.462246       -3.33439        3.83075       -20.5138        27.8656     7.1331e+21
     0.0997387              0      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63708e-10    6.25174e-09    7.42368e-06    4.43309e-11    4.42916e-11    1.03448e-07    1.15286e-09    2.32071e-05    2.33094e-06      0.0161969    0.000273922      0.0192529    0.000712655      0.0119581     0.00147189      0.0171477    3.92252e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045       -1906.09        7601.89        1.83716    5.20957e-09       -2.12239    6.94202e-06       0.159938   -6.69801e-09   -0.000111056   -0.000167046    0.000119153        164.096       -186.863        51484.4       -57137.9        1793.08       -1859.62         122.92       -81.8374        31.2002       -33.2113       0.288639      -0.234661       0.142494        -1.8702        1.72152       -7.34029        15.3786    3.55943e+21
     0.0997387              0      0.0102367      0.0532423    3.07357e-06    1.43427e-10    4.63447e-10    6.25174e-09    7.42367e-06    4.43309e-11    4.42914e-11    1.03448e-07    1.15287e-09    2.32072e-05    2.33066e-06       0.016197    0.000273869      0.0192529    0.000712645      0.0119581      0.0014719      0.0171477     3.9225e-05    0.000452386    0.000349021     0.00261311      0.0230376      0.0254112       0.532523       0.285045       -103.032          410.2     0.00941522    1.77691e-09     -0.0118784    7.11557e-07   -0.000588601   -2.28459e-09   -1.19826e-05   -9.75791e-05    1.29124e-05         11.856       -13.4769         2233.1       -2482.21        571.726       -638.379        150.612       -149.842        17.8645       -16.3132       0.426984      -0.566829       0.175529      -0.822112       0.206975        1.48069        7.00125    1.92414e+20
     0.0997388              0      0.0102367      0.0532424    3.07352e-06    1.43426e-10    4.63439e-10    6.25173e-09     7.4236e-06    4.43309e-11    4.42914e-11    1.03447e-07    1.15287e-09    2.32069e-05     2.3306e-06      0.0161968    0.000273864      0.0192528    0.000712636       0.011958     0.00147189      0.0171477    3.92247e-05    0.000452385     0.00034902      0.0026131      0.0230376      0.0254112       0.532523       0.285045      -0.884496        5.68644   -0.000105537    1.40951e-09   -3.58603e-06   -1.17078e-07    -0.00247954   -1.81222e-09   -5.93627e-08   -0.000201925    2.44873e-07       0.121082     -0.0380004        2.94358       -5.04111        10.1193       -10.5214         5.8997        -15.605      -0.049612      -0.398115       0.179309      -0.445547       0.354482      -0.271918      0.0983031        0.23859        7.61723   -6.21739e+17
     0.0997393              0      0.0102367       0.053243    3.07316e-06    1.43426e-10    4.63386e-10    6.25171e-09    7.42283e-06    4.43313e-11    4.42917e-11    1.03437e-07    1.15289e-09    2.32048e-05    2.33041e-06      0.0161954    0.000273844      0.0192514    0.000712592      0.0119574     0.00147182       0.017147    3.92234e-05    0.000452372    0.000349013     0.00261306      0.0230374       0.025411       0.532525       0.285047     -0.0437546        3.51359    0.000499366   -1.93937e-09   -1.56737e-06   -1.20039e-07    -0.00332871    2.49348e-09    2.38693e-09   -7.04705e-05    1.77273e-07      0.0290303     0.00171555         2.3956      -0.190107       -1.66127      -0.102154       -6.24954      -0.847931       -4.51242     -0.0104471     -0.0709153     -0.0666619      0.0337426    -0.00374629    -0.00595273      -0.620978         8.4151   -3.92938e+18
      0.099742              0      0.0102369      0.0532468      3.071e-06    1.43424e-10    4.63069e-10    6.25159e-09    7.41812e-06     4.4334e-11    4.42942e-11    1.03377e-07    1.15301e-09    2.31917e-05    2.32922e-06      0.0161875    0.000273725      0.0192434    0.000712334      0.0119532     0.00147139      0.0171424     3.9215e-05    0.000452286    0.000348967     0.00261277      0.0230362      0.0254102       0.532537        0.28506      -0.345469        3.51333   -0.000557423   -1.08614e-09   -4.38584e-05   -5.25039e-08    -0.00177732    1.39646e-09    -4.4579e-08   -2.23421e-05    1.30765e-07      0.0418663     -0.0504932        6.50081       -9.35125      -0.504838       -2.53537       -1.12207      -0.820997       -2.46202     -0.0691549     -0.0457647     -0.0303036      -0.153492      -0.652496      -0.527751        3.66237        4.95549   -1.26893e+18
     0.0997537              0      0.0102376       0.053263    3.06201e-06    1.43415e-10    4.61749e-10    6.25105e-09    7.39868e-06    4.43452e-11    4.43043e-11     1.0313e-07    1.15355e-09    2.31364e-05    2.32422e-06      0.0161541    0.000273224      0.0192098    0.000711259      0.0119362     0.00146964      0.0171234    3.91808e-05    0.000451929    0.000348774     0.00261155      0.0230309      0.0254065       0.532586        0.28511       -7.22188        30.7147    0.000185975   -4.59037e-11   -0.000791092   -7.01572e-09    -0.00180087    5.90237e-11   -8.86461e-07   -4.99825e-05    1.04473e-06       0.835808      -0.939848        154.207       -173.377        38.6961       -45.6314        9.32583       -12.2619       -0.58578       -1.18281      0.0148014       -0.10775     -0.0403534      -0.472339      -0.336582        3.45851        4.90709    1.17281e+19
     0.0997778              0      0.0102391      0.0532959    3.04354e-06    1.43396e-10    4.59037e-10    6.24996e-09    7.35874e-06    4.43682e-11    4.43252e-11     1.0262e-07    1.15465e-09    2.30226e-05    2.31389e-06      0.0160854    0.000272191      0.0191407    0.000709038      0.0119011     0.00146602      0.0170843      3.911e-05    0.000451194    0.000348375     0.00260903      0.0230199       0.025399       0.532688       0.285216       -36.3081        147.468     0.00393757    2.86729e-09    -0.00403276    1.18621e-07    -0.00272944   -3.68652e-09   -4.47434e-06   -0.000171071    5.04213e-06        4.19495       -4.69273         781.52       -865.657        204.748       -227.605        52.3204       -60.8035        3.43113       -5.89206       0.195364      -0.470718       0.248983      -0.359186      -0.210891       0.327966        7.54759    6.38394e+19
