          time          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997716      0.0101128       0.050779    2.80299e-06    1.43217e-10    4.18951e-10    2.88119e-08    6.83915e-06    4.42828e-11    2.00385e-10    9.38332e-08    5.12636e-09    2.17799e-05    2.07633e-06      0.0158069    0.000252872      0.0189305    0.000663271      0.0118075     0.00138392      0.0170723    3.63323e-05    0.000445169    0.000330009     0.00261002       0.022332      0.0258242       0.526691       0.294888       0.302981        1.14484   -0.000414244   -1.47627e-09   -3.86637e-05   -1.05728e-07   -0.000977503    1.89808e-09    3.58202e-06   -1.11958e-05   -4.02043e-06     -0.0162859      0.0151312       -6.59842        5.01652       -3.45331        1.43318       -1.47234        0.33203       -1.28577      0.0302725     -0.0220212    -0.00361257     -0.0853082       -0.10677      -0.401278        5.09294      0.0786541   -3.05764e+18
     0.0997716      0.0101128      0.0507804    2.80307e-06    1.43218e-10    4.18962e-10    2.88119e-08    6.83933e-06    4.42827e-11    2.00383e-10    9.38366e-08    5.12634e-09    2.17805e-05    2.07645e-06      0.0158071    0.000252883      0.0189307    0.000663297      0.0118076     0.00138396      0.0170723    3.63337e-05    0.000445172    0.000330018     0.00261002      0.0223324      0.0258239       0.526695       0.294883       -51.0519        206.805     0.00282776    2.57477e-08    -0.00308113   -5.34846e-05    -0.00135035   -3.31041e-08   -0.000646787   -0.000147746    0.000834812        5.02755       -5.70844        1097.43          -1217        294.996       -327.699        78.2461        -83.838         8.1031       -9.00643       0.337028      -0.725297       0.602713       -1.04595        1.50014        9.63548       -6.61199    9.00254e+19
     0.0997716      0.0101128      0.0507797     2.8031e-06    1.43218e-10    4.18966e-10    2.88118e-08    6.83938e-06    4.42827e-11    2.00385e-10    9.38366e-08     5.1264e-09    2.17805e-05    2.07642e-06      0.0158072    0.000252881      0.0189308     0.00066329      0.0118076     0.00138395      0.0170724    3.63332e-05    0.000445172    0.000330015     0.00261002      0.0223323       0.025824       0.526693       0.294885      0.0428997        2.19188   -0.000459485   -1.08796e-09    1.43034e-05   -1.56512e-07   -0.000969393    1.39883e-09   -1.85753e-07   -1.11185e-05    4.51479e-07    9.05164e-05    -0.00398781       -1.22261      -0.946529       -1.83056      -0.360474       -0.97913      -0.147674       -1.21735     -0.0209146      -0.018898     -0.0090104     -0.0777912      -0.128387      -0.356592        4.99746      0.0890016   -2.60169e+18
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21117e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97401e-10    9.42215e-08    5.04594e-09    2.18794e-05    2.08317e-06      0.0158759    0.000253643      0.0190014    0.000664885      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913        6.96379        -25.446   -0.000896209   -4.20854e-09    0.000423611    6.99625e-06   -0.000921881      5.411e-09    8.59246e-05    7.22802e-06    -0.00011074      -0.679546       0.767421       -149.678        163.371       -42.0198        43.9652       -11.7334        11.1875       -2.50191        1.20967     -0.0684457      0.0912787      -0.173342      0.0512217      -0.672082        5.01987        0.34637     -1.525e+19
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21117e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97401e-10    9.42215e-08    5.04594e-09    2.18794e-05    2.08317e-06      0.0158759    0.000253643      0.0190014    0.000664885      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913        5.11757       -18.0851     9.8358e-05    -4.2009e-09   -0.000720559    7.70844e-06   -0.000839754    5.40117e-09    7.39306e-05     7.0914e-06    -9.7815e-05      -0.542469       0.611311       -99.8535        108.078       -40.2148         42.092       -11.6039        11.0999       -2.46668        1.17367     -0.0680838      0.0909853      -0.173042      0.0498093      -0.670068        5.00725       0.358357   -1.18009e+19
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21402e-10      2.841e-08    6.87236e-06    4.42571e-11    1.97459e-10    9.42215e-08    5.04587e-09    2.18789e-05    2.08369e-06      0.0158758    0.000253753      0.0190014    0.000664914      0.0118438     0.00138648      0.0171143    3.63668e-05    0.000445877    0.000330167      0.0026128      0.0223339      0.0258389       0.526496       0.294913       -3611.94        14403.4        1.94863    1.07731e-08       -2.24235     0.00140301        0.16006   -1.38511e-08     -0.0234245   -0.000260583       0.025224        268.016       -305.235        97514.8        -108221        3496.09       -3627.73        242.176        -160.49        66.5539       -69.3507       0.640818       -0.48374       0.415267       -2.71734        3.27503       -19.7143        23.8444    6.74558e+21
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10     4.2126e-10      2.841e-08    6.87236e-06    4.42571e-11     1.9743e-10    9.42215e-08    5.04591e-09    2.18792e-05    2.08343e-06      0.0158758    0.000253698      0.0190014    0.000664899      0.0118438     0.00138647      0.0171143    3.63664e-05    0.000445877    0.000330166      0.0026128      0.0223339      0.0258389       0.526496       0.294913       -1802.49        7188.98       0.973867    3.28228e-09       -1.12096    0.000705004      0.0795691   -4.22005e-09     -0.0116693   -0.000126678      0.0125567        133.668       -152.234        48682.5         -54029        1727.04       -1791.88        115.221       -74.6514         32.026       -34.0705       0.286186      -0.196231       0.120962       -1.33306        1.30148       -7.34723        12.0954    3.36517e+21
     0.0997387      0.0101095      0.0507097    2.81818e-06    1.43236e-10    4.21118e-10    2.84101e-08    6.87235e-06    4.42571e-11    1.97402e-10    9.42215e-08    5.04589e-09    2.18794e-05    2.08319e-06      0.0158759    0.000253646      0.0190014     0.00066489      0.0118438     0.00138648      0.0171143    3.63662e-05    0.000445877    0.000330167      0.0026128      0.0223339      0.0258389       0.526496       0.294913        -97.306        388.398     0.00480274    1.47054e-08    -0.00607817    2.55684e-05   -0.000493339   -1.89069e-08       -0.00123   -4.64213e-05     0.00139665         9.6252       -10.9621        2104.24       -2337.89        551.775       -615.988        140.958       -138.875        18.0984       -16.7368       0.426362      -0.555854       0.190166       -0.44613     -0.0507708        4.71775       0.393392    1.80062e+20
     0.0997388      0.0101095      0.0507098    2.81816e-06    1.43236e-10    4.21113e-10    2.84107e-08    6.87231e-06    4.42572e-11    1.97403e-10    9.42211e-08    5.04599e-09    2.18792e-05    2.08316e-06      0.0158758    0.000253642      0.0190013    0.000664882      0.0118438     0.00138647      0.0171143     3.6366e-05    0.000445876    0.000330167     0.00261279      0.0223339      0.0258389       0.526496       0.294913      -0.629367        5.73321   -0.000230936    2.11829e-08   -1.81743e-06   -7.12115e-05    -0.00121722   -2.72351e-08   -2.65869e-06   -0.000116909    0.000109919      0.0431803     -0.0370032        2.81237       -4.80229        9.10258       -10.3354         8.7301       -14.5015     -0.0792286      -0.412691       0.176546       -0.47527       0.405275      -0.682646        0.50933        12.4926       -8.04819   -2.79649e+18
     0.0997393      0.0101096      0.0507108    2.81793e-06    1.43236e-10    4.21081e-10    2.84166e-08    6.87182e-06    4.42575e-11    1.97449e-10    9.42152e-08    5.04722e-09    2.18777e-05    2.08306e-06      0.0158747     0.00025363      0.0190002    0.000664858      0.0118432     0.00138643      0.0171137    3.63656e-05    0.000445866    0.000330164     0.00261275      0.0223339      0.0258386       0.526499       0.294912        0.10995        3.13583    -3.3931e-05    1.83034e-09   -1.07291e-06   -1.07653e-05     -0.0015114   -2.35328e-09    3.62108e-07   -5.20127e-05    1.57255e-05     0.00478762    -0.00111491       0.489625      -0.311236       -1.18599      -0.122444       -3.40732      -0.511248       -2.54909    -0.00693196     -0.0460705     -0.0581443       0.121753     -0.0174837        0.58982        7.61083       -3.84392   -4.67228e+18
