          time       sdc-iter          X(h1)         X(he4)         X(c12)         X(c14)         X(n13)         X(n14)         X(o16)         X(o18)         X(f18)        X(ne20)        X(ne21)        X(mg24)        X(al27)        X(si28)         X(p31)         X(s32)        X(cl35)        X(ar36)         X(k39)        X(ca40)        X(sc43)        X(ti44)         X(v47)        X(cr48)        X(mn51)        X(fe52)        X(co55)        X(ni56)       dXdt(h1)      dXdt(he4)      dXdt(c12)      dXdt(c14)      dXdt(n13)      dXdt(n14)      dXdt(o16)      dXdt(o18)      dXdt(f18)     dXdt(ne20)     dXdt(ne21)     dXdt(mg24)     dXdt(al27)     dXdt(si28)      dXdt(p31)      dXdt(s32)     dXdt(cl35)     dXdt(ar36)      dXdt(k39)     dXdt(ca40)     dXdt(sc43)     dXdt(ti44)      dXdt(v47)     dXdt(cr48)     dXdt(mn51)     dXdt(fe52)     dXdt(co55)     dXdt(ni56)          de/dt
     0.0997387              0       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49776e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61866e-11    9.98633e-08    9.27932e-10    2.28209e-05    2.21597e-06      0.0162318    0.000264904      0.0193318    0.000690848      0.0120097     0.00143182      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794        17.6662       -69.0375    -0.00288403    -3.4723e-09     0.00203747    1.52765e-06    -0.00103458    4.46439e-09    1.74622e-05    4.89855e-05    -2.2664e-05       -1.95739        2.19256         -382.2        419.269       -103.322         110.51       -27.4038        28.7009       -4.18076         2.9397      -0.135156       0.211674      -0.274478      -0.245983      -0.526024        5.44063        2.35418   -3.32437e+19
     0.0997387              0       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49776e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61866e-11    9.98633e-08    9.27932e-10    2.28209e-05    2.21597e-06      0.0162318    0.000264904      0.0193318    0.000690848      0.0120097     0.00143182      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794        14.5696       -56.6902    0.000187223   -3.46155e-09    -0.00150132    1.62224e-06   -0.000774142    4.45057e-09    1.58531e-05    4.87209e-05   -2.09286e-05       -1.70101        1.90061        -298.61        326.506       -100.345        107.425       -27.1881        28.5533        -4.1245        2.88238      -0.134567       0.211183      -0.273973      -0.248332      -0.522653        5.41946        2.37427   -2.74595e+19
     0.0997387              0       0.010171        0.05161     2.9871e-06    1.43218e-10    4.50619e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61938e-11    9.98633e-08    9.27922e-10    2.28201e-05    2.21688e-06      0.0162317    0.000265077      0.0193318    0.000690894      0.0120097     0.00143183      0.0172642    3.77766e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -5867.95        23398.9        5.83453    1.69636e-08         -6.724    0.000181311       0.493978   -2.18104e-08    -0.00304096   -0.000453993     0.00327582        485.329       -552.699         158493        -175892        5554.55       -5754.07        382.494       -251.824        102.757       -106.004       0.985759      -0.720332       0.686727       -4.71181        5.88073       -34.7989        40.5446    1.09606e+22
     0.0997387              0       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.50197e-10    5.17069e-09    7.23797e-06    4.41733e-11    3.61902e-11    9.98633e-08    9.27927e-10    2.28205e-05    2.21642e-06      0.0162318     0.00026499      0.0193318    0.000690871      0.0120097     0.00143183      0.0172642     3.7776e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -2925.14        11664.9        2.91582    6.74567e-09       -3.36098    9.14195e-05       0.246472     -8.673e-09    -0.00151175   -0.000202503     0.00162658        241.685       -275.253        79055.3       -87736.3        2725.61       -2821.78        177.545       -111.562        49.2878       -51.5323       0.425301      -0.254329       0.206124        -2.4789        2.67735       -14.6791        21.4494    5.46366e+21
     0.0997387              0       0.010171      0.0516101     2.9871e-06    1.43218e-10    4.49779e-10     5.1707e-09    7.23797e-06    4.41733e-11    3.61869e-11    9.98634e-08    9.27924e-10    2.28208e-05    2.21601e-06      0.0162318    0.000264909      0.0193318    0.000690858      0.0120097     0.00143184      0.0172642    3.77758e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -195.542        777.358      0.0190916    8.74649e-09     -0.0231214    7.00423e-06    0.000676227   -1.12455e-08   -0.000197064   -7.84458e-05    0.000219402        21.7111       -24.7178        4264.99       -4737.77        1082.27       -1206.36        265.914       -258.589        35.2068       -31.4701       0.645587      -0.724101       0.226655      -0.637675       0.116054        3.34521         4.0266    3.66062e+20
     0.0997388              0       0.010171      0.0516101    2.98707e-06    1.43218e-10    4.49772e-10    5.17072e-09    7.23794e-06    4.41733e-11    3.61862e-11    9.98633e-08    9.27918e-10    2.28205e-05    2.21594e-06      0.0162317    0.000264902      0.0193317    0.000690847      0.0120097     0.00143183      0.0172642    3.77754e-05    0.000451716    0.000339224      0.0026253      0.0226513      0.0257216       0.528338       0.290794       -3.06455        14.7954   -9.02459e-05    1.76652e-08   -1.35568e-05   -1.47931e-05    -0.00207485   -2.27124e-08   -1.24326e-06   -0.000348701    2.36402e-05       0.264123      -0.160153        15.4572       -19.5857        38.9899       -40.2458        38.0499       -52.8722        3.28005       -1.54602       0.583667       -1.17252        0.83614      -0.342575       0.211916        8.05018       -1.52648    2.27936e+18
      0.099739              0       0.010171      0.0516103    2.98691e-06    1.43218e-10    4.49748e-10     5.1709e-09    7.23764e-06    4.41735e-11     3.6188e-11    9.98591e-08    9.27968e-10    2.28195e-05    2.21585e-06       0.016231    0.000264892      0.0193311    0.000690828      0.0120095      0.0014318      0.0172639    3.77751e-05    0.000451712    0.000339222     0.00262528      0.0226513      0.0257216       0.528339       0.290794     -0.0416765        5.19062     0.00160927    1.22227e-09   -1.04053e-06   -4.22709e-06    -0.00444265   -1.57148e-09    2.10456e-07   -0.000206764    6.09511e-06      0.0763114     0.00728901        5.74681      0.0767416        1.67293      -0.040893        -12.597       -2.44338       -4.34289     -0.0144318     -0.0610849      -0.230514       0.507202       0.342957        0.99187       0.985186        4.17701   -6.81256e+18
     0.0997401              0      0.0101711      0.0516118    2.98619e-06    1.43217e-10    4.49643e-10    5.17178e-09      7.236e-06    4.41744e-11    3.61954e-11    9.98387e-08    9.28178e-10    2.28152e-05    2.21548e-06      0.0162283    0.000264854      0.0193283    0.000690742      0.0120079     0.00143165      0.0172622    3.77723e-05    0.000451681    0.000339207     0.00262518      0.0226509      0.0257213       0.528344       0.290798      -0.020852        2.91827   -0.000202229   -1.52103e-09   -8.45734e-06   -1.27086e-07    -0.00201022    1.95561e-09   -4.91471e-08    -2.4208e-05    2.47967e-07     0.00792839    -0.00690705        1.39491       -1.43612       -2.06283       -0.42191       -2.45517      -0.338092       -3.98902     -0.0169447     -0.0712355     -0.0351872      -0.159621      -0.516294      -0.466048        3.17456        4.50281   -3.13937e+18
     0.0997466              0      0.0101715      0.0516208     2.9818e-06    1.43212e-10    4.49004e-10     5.1771e-09    7.22647e-06    4.41802e-11    3.62388e-11    9.97197e-08    9.29409e-10     2.2788e-05    2.21316e-06      0.0162113    0.000264615      0.0193111    0.000690228      0.0119992     0.00143081      0.0172524    3.77565e-05    0.000451501    0.000339119     0.00262455      0.0226485      0.0257192       0.528371       0.290821       -1.94961        9.87256   -0.000358046   -5.29904e-10   -0.000233003   -2.15611e-07    -0.00140708    6.81309e-10   -2.06522e-06   -2.42709e-05    2.73284e-06       0.219331      -0.250963        41.0588       -48.0025        9.03508       -12.7448         1.7071        -3.4188       -1.32447      -0.341944     -0.0201034     -0.0411612      -0.106612      -0.497255      -0.496062        4.31792        2.98553    1.64762e+18
     0.0997637              0      0.0101726       0.051644    2.97047e-06    1.43201e-10    4.47353e-10    5.19096e-09    7.20188e-06    4.41952e-11    3.63519e-11    9.94121e-08    9.32614e-10     2.2717e-05    2.20708e-06      0.0161669     0.00026399      0.0192663    0.000688887      0.0119765     0.00142863      0.0172269    3.77158e-05    0.000451035     0.00033889     0.00262292      0.0226423      0.0257138       0.528443        0.29088       -16.0092        66.0269     0.00139156    1.62205e-09    -0.00186676   -1.50793e-06    -0.00174623   -2.08549e-09   -1.66063e-05   -7.79317e-05     2.1636e-05        1.77916       -2.00228        344.228        -383.12        89.3856       -101.095        22.5022       -26.4617       0.988046       -2.69297      0.0723232      -0.217978      0.0694013      -0.404541      -0.158715        3.61099        3.50308    2.73363e+19
